Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Poses,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Rowing,2023-07-17 08:04:59,false,"Indoor Rowing","--","1,123","01:36:08","150","183","3.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","2045","0","0","0","--","0:00","80.6","0:00","No","01:36:07.67","1","86.0","30","14","46","--","--","--","--","--","00:00:00","01:36:08","--","--"
Yoga,2023-07-16 11:40:38,false,"Yoga","--","3","00:02:55.9","72","80","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","84.2","0:00","No","02:55.94","1","86.0","15","12","17","9","33","42","33","42","00:02:55.9","00:02:55.9","--","--"
Indoor Rowing,2023-07-16 10:44:09,false,"Indoor Rowing","--","513","00:45:29","140","152","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","899","0","0","0","--","0:00","82.4","0:00","No","45:28.53","1","87.8","28","16","38","--","--","--","--","--","00:00:00","00:45:29","--","--"
Rowing,2023-07-15 09:07:08,false,"Cambridge Rowing","10,932","696","01:14:15","132","162","2.2","--","--","3:24","1:34","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1196","0","0","0","--","0:00","89.6","0:00","No","02:19.84","22","100.4","--","--","--","--","--","--","--","--","01:04:30","01:14:15","--","--"
Yoga,2023-07-14 14:17:04,false,"Yoga","--","1","00:00:12.7","89","93","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","86.0","0:00","No","00:12.70","1","86.0","--","--","--","-2","86","84","85","86","00:00:12.7","00:00:12.7","--","--"
Strength Training,2023-07-14 13:46:54,false,"Strength","0.00","128","00:17:28","112","144","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","9","1","0:00","80.6","0:00","No","17:28.28","1","82.4","--","--","--","--","--","--","--","--","00:17:28","00:17:28","--","--"
Indoor Rowing,2023-07-14 08:43:31,false,"Indoor Rowing","--","512","00:42:19","154","193","3.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","708","0","0","0","--","0:00","78.8","0:00","No","42:18.60","1","86.0","31","19","48","--","--","--","--","--","00:00:00","00:42:19","--","--"
Indoor Cycling,2023-07-13 08:25:52,false,"Indoor Cycling","0.00","891","01:14:07","145","174","3.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","82.4","0:00","No","01:14:07.06","1","87.8","31","19","39","--","--","--","--","--","00:00:00","01:15:19","--","--"
Running,2023-07-12 08:23:02,false,"Stonington Running","3.88","574","00:39:08","166","182","3.1","148","165","10:05","7:56","177","175","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","82.4","0:00","No","08:57.68","4","89.6","34","21","42","--","--","--","--","--","00:39:04","00:45:10","28","106"
Indoor Rowing,2023-07-11 08:52:10,false,"Indoor Rowing","--","785","01:07:32","152","194","3.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1105","0","0","0","--","0:00","80.6","0:00","No","01:07:32.28","1","86.0","30","14","42","--","--","--","--","--","00:00:00","01:07:32","--","--"
